"Slice"	"DetTime"	"DetKpts"	"MatchTime"	"MatchCount"	"MatchInliers"	"MatchRatio"	"Scale"	"ShiftX"	"ShiftY"	"Angle"
1	51.5703	1564	5.1124	1564	1564	1	1	0	0	0
2	54.0039	1535	5.0302	982	961	0.978615	0.999767	0.878016	1.41366	0.000110391
3	51.5594	1526	5.0608	1078	1070	0.992579	0.999632	-0.319272	0.193796	0.000412129
4	51.6207	1548	5.2786	1135	1126	0.99207	0.999263	-0.0546075	0.309894	0.000289331
5	52.1531	1617	5.657	1166	1156	0.991424	0.999419	-0.0909642	1.10678	4.59436e-05
6	56.2177	1668	5.7442	1185	1176	0.992405	0.999392	-0.201643	-0.326568	3.49442e-05
7	51.0911	1653	5.8853	1168	1154	0.988014	1.00027	-0.154282	-0.0933488	0.00014174
8	49.9425	1688	5.824	1267	1252	0.988161	0.999481	-0.118333	0.270482	0.000277395
9	49.0888	1718	5.9012	1282	1275	0.99454	0.999358	0.0591155	0.115694	-0.000450809
10	49.9034	1732	6.2961	1236	1221	0.987864	1.00002	-0.280693	0.732644	-0.000142034
11	48.6781	1716	6.2146	1227	1214	0.989405	0.999075	0.210441	-0.341896	-0.00028979
12	49.4518	1701	6.1663	1225	1216	0.992653	0.999918	-0.0465213	0.291316	-0.000291567
13	48.4388	1696	6.0742	1211	1196	0.987614	1.00036	-0.521349	0.559675	-5.2932e-05
14	50.69	1708	6.1848	1229	1218	0.99105	0.999188	0.349333	0.0686214	-0.00011219
15	48.621	1688	6.1611	1171	1158	0.988898	1.00019	-0.33797	0.160567	-6.44769e-05
16	49.813	1677	6.5912	1174	1163	0.99063	0.999721	-0.382147	0.220775	-0.000129327
17	49.9576	1652	5.6681	1169	1154	0.987169	0.999507	0.0711561	0.22132	-0.000424781
18	50.5706	1636	6.0357	1138	1127	0.990334	0.999616	0.100091	0.0455446	9.20584e-05
19	51.7632	1640	5.8867	1188	1173	0.987374	0.999334	-0.270958	0.319716	-0.000136873
20	49.4675	1693	5.9456	1168	1152	0.986301	1.00003	-0.240876	0.410725	-0.000119223
21	50.6411	1681	6.3171	1144	1132	0.98951	0.999945	-0.00351461	0.303698	-0.000494233
22	49.0974	1638	5.7569	1142	1135	0.99387	0.999923	-0.221911	0.422496	-0.00013581
23	50.0773	1647	5.5792	1205	1198	0.994191	0.99971	-0.155787	-0.266846	-1.95887e-05
24	49.0628	1670	6.5366	1202	1189	0.989185	0.999768	-0.144153	0.315584	-0.000185094
25	50.3377	1673	6.4929	1224	1217	0.994281	0.999724	-0.132752	0.435762	-0.000182219
26	48.7129	1673	5.7012	1673	69	0.0412433	1.00471	-1.41393	-4.31358	0.00412184
27	48.6251	1688	6.0214	1189	1176	0.989066	0.999064	0.0994631	-0.387572	5.93187e-05
28	50.4258	1669	5.9732	1199	1191	0.993328	1.0002	-0.363288	0.0355078	-0.00030901
29	53.8255	1656	5.8922	1245	1230	0.987952	1.00002	-0.208343	0.814214	-7.92382e-05
30	48.4263	1670	5.6982	1264	1251	0.989715	0.999416	0.0305916	-0.129544	-0.000239221
31	47.9653	1689	5.7937	1210	1194	0.986777	1.00027	-0.17646	0.236321	-2.42642e-05
32	50.1246	1689	5.9968	1689	206	0.121966	0.997941	0.721665	1.92058	-0.00141759
33	50.6887	1683	5.7863	1164	1150	0.987973	0.999818	-0.446194	-0.11125	-0.000301374
34	49.3009	1648	5.8265	1192	1177	0.987416	0.999343	0.0286033	-0.0254508	-0.000205958
35	48.2462	1645	5.5861	1193	1177	0.986588	1.00004	-0.145975	0.750325	-7.23203e-05
36	49.3439	1617	5.6341	1248	1236	0.990385	0.999982	-0.218267	0.341452	0.000176636
37	55.0549	1660	5.6908	1129	1108	0.981399	1.00008	-0.174698	-0.326328	-8.44269e-05
38	48.3674	1701	5.8224	1175	1169	0.994894	0.999318	0.1442	0.758452	-0.00012754
39	47.7561	1707	6.0997	1264	1255	0.99288	0.999027	0.172432	-0.680809	0.000168069
40	49.7865	1764	6.6772	1276	1254	0.982759	0.999907	-0.185775	0.504459	0.000112872
41	50.5373	1738	6.9392	1268	1254	0.988959	0.999705	0.0294979	0.511203	-0.000252123
42	48.6902	1744	6.3209	1253	1237	0.987231	0.999482	-0.0115131	-0.129479	-5.90986e-05
43	48.5829	1732	6.2659	1282	1271	0.99142	0.999741	-0.106736	0.154525	1.71305e-06
44	47.7062	1735	6.4227	1329	1317	0.990971	0.999381	0.121599	0.955443	-0.000227016
45	52.6578	1716	6.4433	1314	1298	0.987823	1.00007	-0.382895	-0.0461903	9.1526e-05
46	51.0109	1657	6.1492	1241	1226	0.987913	0.999657	0.211434	0.184729	-0.000486281
47	47.1371	1670	6.3242	1225	1215	0.991837	0.999959	-0.465265	-0.181468	2.69784e-05
48	52.3758	1708	5.802	1228	1222	0.995114	0.999724	0.139926	0.885406	-0.000163106
49	58.9496	1722	6.2207	1241	1233	0.993554	0.999583	0.00375184	-0.477998	-6.02231e-05
