"Slice"	"DetTime"	"DetKpts"	"MatchTime"	"MatchCount"	"MatchInliers"	"MatchRatio"	"Scale"	"ShiftX"	"ShiftY"	"Angle"
1	15.8815	2500	10.8332	2500	2500	1	1	0	0	0
2	15.7917	2500	10.4404	2500	34	0.0136	0.0106319	421.339	216.825	-0.759231
3	15.6952	2500	10.2375	2500	35	0.014	0.0163181	646.279	350.639	2.15255
4	15.772	2500	10.2446	2500	34	0.0136	0.01018	661.51	341.769	-0.667456
5	15.7835	2500	10.6669	2500	42	0.0168	1.00045	-0.566775	-0.00259857	-0.000353221
6	16.3416	2500	10.7755	2500	32	0.0128	0.0332567	616.614	335.232	-2.86786
7	16.1027	2500	10.5982	2500	38	0.0152	0.992295	3.04739	2.51277	-0.00368077
8	16.2274	2500	11.2269	2500	36	0.0144	0.00371793	122.37	146.49	0.346358
9	16.1983	2500	10.5789	2500	40	0.016	0.0156924	433.377	369.545	0.419189
10	16.2599	2500	10.2618	2500	49	0.0196	1.0057	-2.95779	1.51713	-0.00306412
11	16.0526	2500	10.6157	2500	34	0.0136	0.0188348	399.554	217.73	2.84627
12	16.0589	2500	11.2494	2500	29	0.0116	0.994733	3.65999	2.76901	-0.00349273
13	16.0401	2500	10.7438	2500	32	0.0128	1.00779	-1.15095	-0.727219	-0.00220452
14	16.2698	2500	10.5877	2500	37	0.0148	0.0119144	126.518	135.902	-2.72514
15	15.9217	2500	10.5511	2500	40	0.016	0.997267	1.87511	1.51035	-0.00111984
16	16.3224	2500	10.497	2500	26	0.0104	0.00710545	313.369	256.762	3.04133
17	15.9483	2500	11.4729	2500	34	0.0136	1.00303	-1.44963	-0.0178482	-0.000838574
18	15.8807	2500	11.5496	2500	55	0.022	1.00211	0.326163	0.237366	0.000438322
19	16.3504	2500	10.721	2500	36	0.0144	0.0169376	423.035	382.091	-2.29999
20	15.9065	2500	10.2591	2500	33	0.0132	0.0509293	134.771	161.951	-2.94051
21	15.9742	2500	10.7883	2500	44	0.0176	0.994312	3.25468	0.172742	0.00333303
22	16.0293	2500	11.7933	2500	42	0.0168	1.00049	-0.586537	-0.321058	-0.00211861
23	15.8005	2500	10.4371	2500	36	0.0144	0.0109684	523.7	341.547	-0.594722
24	15.8249	2500	10.5185	2500	33	0.0132	0.998069	0.530967	-0.717607	0.002372
25	15.8251	2500	11.4411	2500	41	0.0164	1.00244	-1.12396	0.270149	0.00152819
26	16.2903	2500	11.1883	2500	28	0.0112	0.00956448	490.268	538.557	0.660982
27	16.3175	2500	12.1328	2500	38	0.0152	0.984439	2.39159	2.8513	-0.00323863
28	15.9515	2500	10.3907	2500	32	0.0128	0.999678	1.39021	-0.462581	0.0029767
29	15.8351	2500	10.6799	2500	47	0.0188	0.996613	-0.347895	0.877638	0.000919857
30	16.0027	2500	10.7442	2500	43	0.0172	0.999754	1.60448	-0.604439	-0.00107177
31	15.8464	2500	11.579	2500	32	0.0128	1.00952	-3.93197	0.955197	-0.00216594
32	15.7794	2500	11.2	2500	44	0.0176	0.995172	1.39232	0.168296	0.00220678
33	16.0587	2500	10.944	2500	32	0.0128	0.0127228	376.979	424.738	-0.561948
34	16.0146	2500	10.6609	2500	40	0.016	0.0185691	435.102	258.621	-1.95685
35	15.7727	2500	11.1065	2500	39	0.0156	0.978143	11.2034	5.9995	-0.00575125
36	15.9402	2500	10.8605	2500	36	0.0144	0.998709	0.536295	1.14425	-0.00404363
37	15.814	2500	10.6276	2500	44	0.0176	0.995677	0.414822	1.57858	-0.00262316
38	16.0414	2500	10.4801	2500	33	0.0132	1.00067	-1.31461	-4.66747	0.0080537
39	15.7859	2500	10.734	2500	37	0.0148	0.00878259	210.886	189.777	-0.439194
40	16.1428	2500	10.7163	2500	29	0.0116	0.00389109	196.926	88.6614	-2.64595
41	16.3013	2500	11.188	2500	32	0.0128	1.00862	-3.63089	0.724375	1.39779e-05
42	16.0211	2500	11.3344	2500	26	0.0104	0.0175468	255.477	253.974	0.41426
43	15.6096	2500	10.6402	2500	42	0.0168	0.998383	-0.670208	0.61813	-0.00214425
44	15.5759	2500	11.0654	2500	42	0.0168	1.00241	-0.288945	1.77224	-0.00127291
45	15.8081	2500	10.5585	2500	34	0.0136	0.999123	1.11828	0.5505	-0.00150068
46	15.7047	2500	10.9647	2500	35	0.014	0.998791	-0.937471	1.59333	-0.00539247
47	15.8263	2500	11.0047	2500	29	0.0116	0.0461367	614.166	315.879	1.69091
48	15.8176	2500	11.4906	2500	33	0.0132	1.00835	-1.69781	-1.66442	0.00438289
49	15.9171	2500	10.6897	2500	33	0.0132	0.0082604	250.503	146.079	2.80147
